OK everything is done now!
-------------------------------------------
Training time: 0.0 hour 10.0 min 20 sec 454 msec
Best Policy:
     PkgProb  TruckPkgQuantiles  WarehousePkgQuantiles  NumVisits   Policy
307     0.21                  3                      1          0        ?
308     0.21                  3                      2          0        ?
309     0.21                  3                      3          0        ?
310     0.21                  3                      4          0        ?
311     0.21                  3                      5          0        ?
312     0.21                  4                      0          0        ?
313     0.21                  4                      1          0        ?
314     0.21                  4                      2          0        ?
315     0.21                  4                      3          0        ?
316     0.21                  4                      4          0        ?
317     0.21                  4                      5          0        ?
318     0.21                  5                      0          0        ?
319     0.21                  5                      1          0        ?
320     0.21                  5                      2          0        ?
321     0.21                  5                      3          0        ?
322     0.21                  5                      4          0        ?
323     0.21                  5                      5          0        ?
324     0.23                  0                      0          0        ?
325     0.23                  0                      1          0        ?
326     0.23                  0                      2          0        ?
327     0.23                  0                      3          0        ?
328     0.23                  0                      4          0        ?
329     0.23                  0                      5          0        ?
330     0.23                  1                      0          0        ?
331     0.23                  1                      1          0        ?
332     0.23                  1                      2          0        ?
333     0.23                  1                      3          0        ?
334     0.23                  1                      4          0        ?
335     0.23                  1                      5          0        ?
336     0.23                  2                      0          0        ?
337     0.23                  2                      1          0        ?
338     0.23                  2                      2          0        ?
339     0.23                  2                      3          0        ?
340     0.23                  2                      4          0        ?
341     0.23                  2                      5          0        ?
342     0.23                  3                      0          0        ?
343     0.23                  3                      1          0        ?
344     0.23                  3                      2          0        ?
345     0.23                  3                      3          0        ?
346     0.23                  3                      4          0        ?
347     0.23                  3                      5          0        ?
348     0.23                  4                      0          0        ?
349     0.23                  4                      1          0        ?
350     0.23                  4                      2          0        ?
351     0.23                  4                      3          0        ?
352     0.23                  4                      4          0        ?
353     0.23                  4                      5          0        ?
354     0.23                  5                      0          0        ?
355     0.23                  5                      1          0        ?
356     0.23                  5                      2          0        ?
357     0.23                  5                      3          0        ?
358     0.23                  5                      4          0        ?
359     0.23                  5                      5          0        ?
360     0.25                  0                      0          0        ?
361     0.25                  0                      1          0        ?
362     0.25                  0                      2          0        ?
363     0.25                  0                      3          0        ?
364     0.25                  0                      4          0        ?
365     0.25                  0                      5          0        ?
366     0.25                  1                      0          0        ?
367     0.25                  1                      1          0        ?
368     0.25                  1                      2          0        ?
369     0.25                  1                      3          0        ?
370     0.25                  1                      4          0        ?
371     0.25                  1                      5          0        ?
372     0.25                  2                      0          0        ?
373     0.25                  2                      1          0        ?
374     0.25                  2                      2          0        ?
375     0.25                  2                      3          0        ?
376     0.25                  2                      4          0        ?
377     0.25                  2                      5          0        ?
378     0.25                  3                      0          0        ?
379     0.25                  3                      1          0        ?
380     0.25                  3                      2          0        ?
381     0.25                  3                      3          0        ?
382     0.25                  3                      4          0        ?
383     0.25                  3                      5          0        ?
384     0.25                  4                      0          0        ?
385     0.25                  4                      1          0        ?
386     0.25                  4                      2          0        ?
387     0.25                  4                      3          0        ?
388     0.25                  4                      4          0        ?
389     0.25                  4                      5          0        ?
390     0.25                  5                      0          0        ?
391     0.25                  5                      1          0        ?
392     0.25                  5                      2          0        ?
393     0.25                  5                      3          0        ?
394     0.25                  5                      4          0        ?
395     0.25                  5                      5          0        ?
-------------------------------------------
Average Reward:
1059.854
